Protein Accession,Transcript Accession
NP_611456.1,NM_137612.2
NP_001286625.1,NM_001299696.1
NP_001286626.1,NM_001299697.1
NP_611457.1,NM_137613.3
NP_001286627.1,NM_001299698.1
NP_611458.2,NM_137614.3
NP_611459.1,NM_137615.3
NP_611460.1,NM_137616.3
NP_611461.3,NM_137617.4
NP_001261100.1,NM_001274171.1
NP_611462.1,NM_137618.3
NP_477394.3,NM_058046.5
NP_725940.2,NM_166380.3
NP_725939.2,NM_166379.3
NP_001261101.1,NM_001274172.1
NP_611463.1,NM_137619.3
NP_725941.1,NM_166381.2
NP_725942.1,NM_166382.2
NP_476905.1,NM_057557.4
NP_995904.1,NM_206182.2
NP_476683.1,NM_057335.3
NP_725943.1,NM_166383.4
NP_476964.1,NM_057616.6
NP_611464.3,NM_137620.3
NP_611465.2,NM_137621.3
NP_611466.2,NM_137622.3
NP_611467.1,NM_137623.3
NP_611468.1,NM_137624.2
NP_001286628.1,NM_001299699.1
NP_001286629.1,NM_001299700.1
NP_611469.1,NM_137625.2
NP_001097380.1,NM_001103910.2
NP_611470.1,NM_137626.3
NP_477407.1,NM_058059.4
NP_001286630.1,NM_001299701.1
NP_611471.1,NM_137627.4
NP_725952.1,NM_166388.3
NP_001368955.1,NM_001382024.1
NP_001368942.1,NM_001382025.1
NP_611473.1,NM_137629.2
NP_611475.3,NM_137631.7
NP_001163213.1,NM_001169742.2
NP_611474.1,NM_137630.4
NP_722455.3,NM_153771.4
NP_722456.1,NM_153772.2
NP_611476.3,NM_137632.5
NP_725957.2,NM_166389.3
NP_725958.1,NM_166390.3
NP_001286631.1,NM_001299702.1
NP_611477.1,NM_137633.2
NP_725961.1,NM_166391.2
NP_611478.1,NM_137634.2
NP_652708.3,NM_144451.3
NP_611479.2,NM_137635.3
NP_001097382.2,NM_001103912.3
NP_001137720.1,NM_001144248.2
NP_001097383.3,NM_001103913.3
NP_725963.3,NM_166392.4
NP_611481.1,NM_137637.3
NP_001286632.1,NM_001299703.1
NP_725965.1,NM_166394.3
NP_725966.1,NM_166395.3
NP_611482.1,NM_137638.3
NP_611483.1,NM_137639.2
NP_725968.1,NM_166396.3
NP_665881.1,NM_145874.2
NP_001286633.1,NM_001299704.1
NP_611484.1,NM_137640.3
NP_611485.1,NM_137641.3
NP_611486.1,NM_137642.3
NP_001246443.1,NM_001259514.1
NP_611487.1,NM_137643.3
NP_001286634.1,NM_001299705.1
NP_665889.1,NM_145882.2
NP_611488.1,NM_137644.1
NP_725973.1,NM_166397.3
NP_001137721.1,NM_001144249.2
NP_611489.1,NM_137645.3
NP_001027442.1,NM_001032271.2
NP_001027441.1,NM_001032270.2
NP_725975.2,NM_166398.2
NP_611491.2,NM_137647.2
NP_001286635.1,NM_001299706.1
NP_525117.2,NM_080378.4
NP_001286636.1,NM_001299707.1
NP_001246444.1,NM_001259515.1
NP_001286637.1,NM_001299708.1
NP_652049.1,NM_143792.3
NP_611492.1,NM_137648.4
NP_995906.1,NM_206184.2
NP_001163216.1,NM_001169745.2
NP_995907.1,NM_206185.2
NP_665890.2,NM_145883.3
NP_001261102.1,NM_001274173.1
NP_995905.1,NM_206183.3
NP_611493.2,NM_137649.3
NP_725980.1,NM_166402.2
NP_611494.1,NM_137650.3
NP_725981.1,NM_166403.2
NP_001286638.1,NM_001299709.1
NP_611495.1,NM_137651.2
NP_611496.1,NM_137652.4
NP_611497.1,NM_137653.4
NP_001163217.1,NM_001169746.2
NP_611499.3,NM_137655.3
NP_611498.1,NM_137654.1
NP_001286639.1,NM_001299710.1
NP_611500.1,NM_137656.4
NP_611501.1,NM_137657.3
NP_001027443.1,NM_001032272.4
NP_001027444.1,NM_001032273.4
NP_611503.1,NM_137659.5
NP_611506.2,NM_137662.4
NP_001286640.1,NM_001299711.1
NP_001286641.1,NM_001299712.1
NP_611504.2,NM_137660.4
NP_611505.1,NM_137661.2
NP_611507.1,NM_137663.2
NP_611508.1,NM_137664.3
NP_725993.1,NM_166408.2
NP_001163218.1,NM_001169747.2
NP_725997.1,NM_166412.3
NP_725995.1,NM_166410.3
NP_725996.1,NM_166411.3
NP_001286643.1,NM_001299714.1
NP_001286642.1,NM_001299713.1
NP_611509.1,NM_137665.2
NP_001286644.1,NM_001299715.1
NP_523798.1,NM_079074.1
NP_611510.1,NM_137666.2
NP_995908.2,NM_206186.4
NP_001286645.1,NM_001299716.1
NP_611511.3,NM_137667.4
NP_001097385.1,NM_001103915.2
NP_001097386.1,NM_001103916.2
NP_611513.1,NM_137669.3
NP_001261104.1,NM_001274175.2
NP_001261105.1,NM_001274176.1
NP_001261106.1,NM_001274177.1
NP_001356965.1,NM_001370028.1
NP_001261107.1,NM_001274178.2
NP_001261108.1,NM_001274179.2
NP_001261109.1,NM_001274180.2
NP_001261110.1,NM_001274181.2
NP_611516.2,NM_137672.2
NP_477024.1,NM_057676.4
NP_477206.1,NM_057858.4
NP_001286647.1,NM_001299718.1
NP_001286646.1,NM_001299717.1
NP_611517.1,NM_137673.3
NP_611518.1,NM_137674.2
NP_611519.2,NM_137675.3
NP_001286648.1,NM_001299719.1
NP_652295.1,NM_144038.3
NP_001033962.1,NM_001038873.2
NP_001097387.1,NM_001103917.3
NP_001261111.1,NM_001274182.2
NP_611522.1,NM_137678.3
NP_001286649.1,NM_001299720.1
NP_611523.3,NM_137679.3
NP_001356966.1,NM_001369956.1
NP_001286652.1,NM_001299723.1
NP_001097388.2,NM_001103918.3
NP_001286653.1,NM_001299724.1
NP_001286654.1,NM_001299725.1
NP_523799.3,NM_079075.5
NP_001286651.1,NM_001299722.1
NP_001036563.1,NM_001043098.2
NP_001286650.1,NM_001299721.1
NP_611525.1,NM_137681.3
NP_726006.3,NM_166413.3
NP_523800.1,NM_079076.4
NP_001027445.1,NM_001032274.2
NP_788420.1,NM_176240.2
NP_001163220.1,NM_001169749.2
NP_611527.2,NM_137683.5
NP_001036564.1,NM_001043099.4
NP_611528.1,NM_137684.2
NP_001286655.1,NM_001299726.1
NP_611529.1,NM_137685.2
NP_001286656.1,NM_001299727.1
NP_001286657.1,NM_001299728.1
NP_611530.5,NM_137686.6
NP_611531.2,NM_137687.3
NP_611532.2,NM_137688.2
NP_726013.2,NM_166415.2
NP_611533.2,NM_137689.5
NP_476691.1,NM_057343.5
NP_001261112.1,NM_001274183.1
NP_001369100.1,NM_001382009.1
NP_611534.2,NM_137690.4
NP_726015.2,NM_166416.2
NP_788421.2,NM_176241.3
NP_726016.1,NM_166417.2
NP_788422.1,NM_176242.3
NP_611535.1,NM_137691.3
NP_611536.1,NM_137692.3
NP_001097389.1,NM_001103919.3
NP_001261114.1,NM_001274185.2
NP_001286659.1,NM_001299730.1
NP_611537.2,NM_137693.4
NP_001163227.1,NM_001169756.2
NP_001163221.1,NM_001169750.2
NP_001163226.1,NM_001169755.2
NP_001163223.1,NM_001169752.2
NP_001163225.1,NM_001169754.2
NP_001163222.1,NM_001169751.2
NP_001163224.1,NM_001169753.2
NP_726018.2,NM_166418.4
NP_001163230.1,NM_001169759.2
NP_001163228.1,NM_001169757.2
NP_001163229.1,NM_001169758.2
NP_995910.2,NM_206188.4
NP_001097391.1,NM_001103921.3
NP_001261113.1,NM_001274184.2
NP_001286658.1,NM_001299729.1
NP_611538.1,NM_137694.4
NP_476722.1,NM_057374.3
NP_611539.1,NM_137695.4
NP_611540.1,NM_137696.3
NP_611541.1,NM_137697.4
NP_611542.2,NM_137698.1
NP_726022.1,NM_166420.2
NP_524962.2,NM_080223.3
NP_611543.3,NM_137699.5
NP_611544.1,NM_137700.4
NP_726024.1,NM_166422.2
NP_001261115.1,NM_001274186.1
NP_524821.1,NM_080082.3
NP_726023.1,NM_166421.2
NP_726025.1,NM_166423.3
NP_726027.1,NM_166425.2
NP_726026.1,NM_166424.2
NP_611545.1,NM_137701.3
NP_001097392.1,NM_001103922.2
NP_611547.2,NM_137703.3
NP_477043.1,NM_057695.4
NP_611549.2,NM_137705.3
NP_995911.1,NM_206189.2
NP_611548.1,NM_137704.3
NP_001286660.1,NM_001299731.1
NP_477246.2,NM_057898.4
NP_726030.1,NM_166426.2
NP_476636.1,NM_057288.4
NP_611551.1,NM_137707.3
NP_001286661.1,NM_001299732.1
NP_001286662.1,NM_001299733.1
NP_611552.1,NM_137708.2
NP_726032.4,NM_166427.4
NP_524722.2,NM_079983.4
NP_611553.1,NM_137709.4
NP_611554.1,NM_137710.3
NP_001286663.1,NM_001299734.1
NP_001261118.1,NM_001274189.1
NP_611555.2,NM_137711.4
NP_001261117.1,NM_001274188.1
NP_001261116.1,NM_001274187.1
NP_611556.2,NM_137712.4
NP_001286664.1,NM_001299735.1
NP_611557.2,NM_137713.3
NP_001261119.1,NM_001274190.2
NP_001097394.1,NM_001103924.2
NP_611558.2,NM_137714.4
NP_611559.1,NM_137715.4
NP_726036.2,NM_166429.3
NP_726037.1,NM_166430.3
NP_726038.1,NM_166431.4
NP_523801.2,NM_079077.4
NP_611560.1,NM_137716.3
NP_476773.1,NM_057425.3
NP_001286665.1,NM_001299736.1
NP_611561.1,NM_137717.4
NP_611562.2,NM_137718.5
NP_001286669.1,NM_001299740.1
NP_001286666.1,NM_001299737.1
NP_001286668.1,NM_001299739.1
NP_001286667.1,NM_001299738.1
NP_001246446.1,NM_001259517.2
NP_726040.1,NM_166432.3
NP_001163232.2,NM_001169761.4
NP_611563.1,NM_137719.4
NP_611564.2,NM_137720.4
NP_001036565.1,NM_001043100.3
NP_001261122.1,NM_001274193.1
NP_611565.2,NM_137721.3
NP_788423.1,NM_176243.2
NP_001027446.2,NM_001032275.2
NP_001097396.3,NM_001103926.4
NP_001286670.1,NM_001299741.1
NP_001097395.1,NM_001103925.3
NP_611566.2,NM_137722.6
NP_726044.1,NM_166433.2
NP_001097397.1,NM_001103927.1
NP_726048.1,NM_166434.2
NP_611570.3,NM_137726.3
NP_726049.1,NM_166435.2
NP_001286671.1,NM_001299742.1
NP_611571.2,NM_137727.3
NP_001286672.1,NM_001299743.1
NP_611572.2,NM_137728.3
NP_001286673.1,NM_001299744.1
NP_726051.1,NM_166436.3
NP_726053.1,NM_166437.4
NP_477203.1,NM_057855.6
NP_726054.1,NM_166438.4
NP_611573.1,NM_137729.3
NP_726059.5,NM_166441.4
NP_001286674.1,NM_001299745.1
NP_001163233.1,NM_001169762.2
NP_611574.5,NM_137730.4
NP_001137724.1,NM_001144252.3
NP_001369103.1,NM_001382092.1
NP_001369104.1,NM_001382093.1
NP_001369101.1,NM_001382090.1
NP_001369102.1,NM_001382091.1
NP_726060.3,NM_166442.3
NP_001137725.1,NM_001144253.2
NP_001137723.2,NM_001144251.3
NP_001137726.1,NM_001144254.3
NP_001369105.1,NM_001382094.1
NP_001137722.2,NM_001144250.2
NP_001369106.1,NM_001382095.1
NP_611576.1,NM_137732.4
NP_001261123.1,NM_001274194.2
NP_001163234.1,NM_001169763.2
NP_726061.1,NM_166443.2
NP_001163235.1,NM_001169764.2
NP_726062.2,NM_166444.2
NP_611577.2,NM_137733.3
NP_001163236.1,NM_001169765.2
NP_001286675.1,NM_001299746.1
NP_611578.1,NM_137734.4
NP_611579.1,NM_137735.3
NP_001286676.1,NM_001299747.1
NP_524833.2,NM_080094.4
NP_726065.1,NM_166446.3
NP_788424.1,NM_176244.3
NP_001137727.2,NM_001144255.3
NP_611581.1,NM_137737.3
NP_611582.1,NM_137738.3
NP_524809.2,NM_080070.4
NP_001356967.1,NM_001369962.1
NP_611583.1,NM_137739.3
NP_611584.1,NM_137740.3
NP_523802.1,NM_079078.3
NP_001286677.1,NM_001299748.1
NP_523803.1,NM_079079.4
NP_726072.2,NM_166450.3
NP_001137729.2,NM_001144257.4
NP_001246447.1,NM_001259518.2
NP_001356968.1,NM_001369961.1
NP_476965.1,NM_057617.5
NP_001163238.2,NM_001169767.3
NP_726071.1,NM_166449.5
NP_001286678.1,NM_001299749.1
NP_001137728.1,NM_001144256.2
NP_524729.2,NM_079990.3
NP_726074.2,NM_166452.3
NP_476973.1,NM_057625.5
NP_001246448.1,NM_001259519.2
NP_001286679.1,NM_001299750.1
NP_001286680.1,NM_001299751.1
NP_001369107.1,NM_001382134.1
NP_611585.1,NM_137741.5
NP_995914.1,NM_206192.2
NP_995915.1,NM_206193.2
NP_726076.1,NM_166454.2
NP_995912.1,NM_206190.2
NP_523804.3,NM_079080.3
NP_726077.1,NM_166455.2
NP_726078.1,NM_166456.3
NP_995916.1,NM_206194.2
NP_995913.1,NM_206191.2
NP_611586.1,NM_137742.3
NP_726079.1,NM_166457.2
NP_001097398.1,NM_001103928.2
NP_726081.1,NM_166459.2
NP_476758.1,NM_057410.4
NP_476759.1,NM_057411.4
NP_726082.3,NM_166460.3
NP_001163239.1,NM_001169768.2
NP_726083.1,NM_166461.2
NP_995917.3,NM_206195.3
NP_611587.2,NM_137743.3
NP_001246449.1,NM_001259520.1
NP_611588.1,NM_137744.2
NP_726087.2,NM_166462.2
NP_611589.2,NM_137745.2
NP_001286681.1,NM_001299752.1
NP_001286682.1,NM_001299753.1
NP_995918.2,NM_206196.3
NP_001286683.1,NM_001299754.1
NP_611590.1,NM_137746.4
NP_726088.1,NM_166463.3
NP_611591.3,NM_137747.3
NP_001286684.1,NM_001299755.1
NP_652704.1,NM_144447.3
NP_536784.1,NM_080523.4
NP_726092.1,NM_166465.2
NP_001246451.1,NM_001259522.2
NP_611592.2,NM_137748.4
NP_611593.1,NM_137749.2
NP_001286685.1,NM_001299756.1
NP_611594.1,NM_137750.3
NP_001261124.1,NM_001274195.2
NP_726095.2,NM_166466.3
NP_611595.3,NM_137751.4
NP_726097.1,NM_166468.3
NP_726096.1,NM_166467.3
NP_001163241.1,NM_001169770.2
NP_001097399.1,NM_001103929.3
NP_001163240.1,NM_001169769.2
NP_001097400.1,NM_001103930.2
NP_611596.1,NM_137752.5
NP_611597.1,NM_137753.3
NP_001286686.1,NM_001299757.1
NP_611598.1,NM_137754.2
NP_001286687.1,NM_001299758.1
NP_001137731.1,NM_001144259.2
NP_001286688.1,NM_001299759.1
NP_001137730.1,NM_001144258.2
NP_001137732.2,NM_001144260.2
NP_726099.1,NM_166469.2
NP_001137734.1,NM_001144262.2
NP_001137735.1,NM_001144263.2
NP_001137736.1,NM_001144264.2
NP_001137737.1,NM_001144265.2
NP_001137733.1,NM_001144261.2
NP_611600.1,NM_137756.4
NP_726100.1,NM_166470.3
NP_611601.2,NM_137757.3
NP_001286689.1,NM_001299760.1
NP_611602.3,NM_137758.3
NP_611603.3,NM_137759.5
NP_001261125.2,NM_001274196.2
NP_001303359.1,NM_001316430.1
NP_611604.1,NM_137760.3
NP_523805.1,NM_079081.4
NP_726103.1,NM_166473.2
NP_611605.1,NM_137761.3
NP_001286690.1,NM_001299761.1
NP_001163242.1,NM_001169771.2
NP_611606.1,NM_137762.4
NP_726104.1,NM_166474.3
NP_001286692.1,NM_001299763.1
NP_001163243.1,NM_001169772.2
NP_001286691.1,NM_001299762.1
NP_726105.1,NM_166475.3
NP_611607.2,NM_137763.4
NP_001286693.1,NM_001299764.1
NP_726106.1,NM_166476.2
NP_001286694.1,NM_001299765.1
NP_001286695.1,NM_001299766.1
NP_726107.1,NM_166477.2
NP_001286696.1,NM_001299767.1
NP_726109.1,NM_166479.2
NP_001163244.1,NM_001169773.2
NP_726110.1,NM_166480.2
NP_726108.3,NM_166478.4
NP_726111.1,NM_166481.3
NP_726112.1,NM_166482.2
NP_001286697.1,NM_001299768.1
NP_726113.1,NM_166483.3
NP_611608.1,NM_137764.3
NP_726114.1,NM_166484.2
NP_726115.1,NM_166485.2
NP_611609.1,NM_137765.3
NP_001261126.1,NM_001274197.1
NP_726116.2,NM_166486.3
NP_611610.2,NM_137766.3
NP_523806.2,NM_079082.4
NP_001097401.1,NM_001103931.3
NP_001286698.1,NM_001299769.1
NP_652645.1,NM_144388.2
NP_611611.1,NM_137767.4
NP_726121.3,NM_166487.4
NP_001033963.1,NM_001038874.3
NP_611613.1,NM_137769.4
NP_611614.1,NM_137770.4
NP_611615.1,NM_137771.1
NP_995920.1,NM_206198.2
NP_611617.1,NM_137773.2
NP_001369108.1,NM_001382077.1
NP_001097402.1,NM_001103932.2
NP_611619.2,NM_137775.2
NP_477384.1,NM_058036.4
NP_001261130.1,NM_001274201.1
NP_001286699.1,NM_001299770.1
NP_001246452.1,NM_001259523.2
NP_611620.2,NM_137776.3
NP_001369109.1,NM_001382107.1
NP_611621.2,NM_137777.2
NP_001286700.1,NM_001299771.1
NP_611622.2,NM_137778.2
NP_001033964.1,NM_001038875.4
NP_001286701.1,NM_001299772.1
NP_611624.3,NM_137780.4
NP_726133.2,NM_166489.2
NP_523808.2,NM_079084.4
NP_726135.2,NM_166491.2
NP_726137.2,NM_166493.2
NP_726138.1,NM_166494.3
NP_001097404.2,NM_001103934.2
NP_995921.2,NM_206199.2
NP_611629.1,NM_137785.3
NP_524707.1,NM_079968.3
NP_611630.1,NM_137786.1
NP_001286702.1,NM_001299773.1
NP_611631.1,NM_137787.3
NP_611632.3,NM_137788.4
NP_726150.1,NM_166502.3
NP_726151.3,NM_166503.3
NP_726149.1,NM_166501.3
NP_001286703.1,NM_001299774.1
NP_611633.2,NM_137789.3
NP_726153.2,NM_166504.2
NP_611634.1,NM_137790.3
NP_611635.1,NM_137791.4
NP_611636.1,NM_137792.3
NP_569729.1,NM_130462.4
NP_726155.1,NM_166505.2
NP_001246454.1,NM_001259525.1
NP_001246455.1,NM_001259526.2
NP_611637.1,NM_137793.2
NP_001246456.1,NM_001259527.2
NP_001261131.1,NM_001274202.1
NP_001261133.1,NM_001274204.1
NP_001261134.1,NM_001274205.1
NP_001163245.1,NM_001169774.2
NP_001261132.1,NM_001274203.1
NP_611638.2,NM_137794.4
NP_611639.1,NM_137795.3
NP_001163248.1,NM_001169777.2
NP_001097406.1,NM_001103936.2
NP_001163247.1,NM_001169776.2
NP_726161.1,NM_166509.2
NP_726160.1,NM_166508.2
NP_726159.1,NM_166507.2
NP_726163.1,NM_166511.2
NP_001163249.1,NM_001169778.2
NP_726162.1,NM_166510.2
NP_001163246.1,NM_001169775.2
NP_611640.3,NM_137796.3
NP_001286704.1,NM_001299775.1
NP_611641.6,NM_137797.5
NP_726164.1,NM_166512.2
NP_476634.1,NM_057286.5
NP_001286705.1,NM_001299776.1
NP_611642.2,NM_137798.4
NP_651958.2,NM_143701.4
NP_001246457.1,NM_001259528.2
NP_001097407.1,NM_001103937.3
NP_726168.1,NM_166514.2
NP_001014543.1,NM_001014543.2
NP_001286706.1,NM_001299777.1
NP_524641.1,NM_079902.3
NP_611644.1,NM_137800.2
NP_524659.1,NM_079920.3
NP_001097408.1,NM_001103938.2
NP_611646.1,NM_137802.4
NP_611647.1,NM_137803.3
NP_001286707.1,NM_001299778.1
NP_726172.1,NM_166516.3
NP_001286708.1,NM_001299779.1
NP_611649.1,NM_137805.3
NP_611650.2,NM_137806.4
NP_726175.3,NM_166518.3
NP_611651.4,NM_137807.4
NP_611652.2,NM_137808.3
NP_726176.1,NM_166519.2
NP_611653.1,NM_137809.2
NP_611654.1,NM_137810.1
NP_001286709.1,NM_001299780.1
NP_611655.1,NM_137811.3
NP_611656.2,NM_137812.3
NP_477374.1,NM_058026.4
NP_001286711.1,NM_001299782.1
NP_001286710.1,NM_001299781.1
NP_726180.1,NM_166520.2
NP_611657.2,NM_137813.5
NP_611658.3,NM_137814.4
NP_001097409.1,NM_001103939.2
NP_611659.2,NM_137815.3
NP_001163251.1,NM_001169780.2
NP_477242.1,NM_057894.4
NP_477241.2,NM_057893.5
NP_001246458.1,NM_001259529.2
NP_726186.1,NM_166523.3
NP_611660.1,NM_137816.2
NP_726189.1,NM_166526.2
NP_611661.1,NM_137817.3
NP_726188.1,NM_166525.2
NP_726187.1,NM_166524.2
NP_001286712.1,NM_001299783.1
NP_726192.1,NM_166529.2
NP_726191.1,NM_166528.2
NP_726190.1,NM_166527.2
NP_001286713.1,NM_001299784.1
NP_477049.2,NM_057701.4
NP_001286714.1,NM_001299785.1
NP_001097410.1,NM_001103940.2
NP_477209.2,NM_057861.3
NP_001097412.1,NM_001103942.2
NP_001097411.1,NM_001103941.2
NP_001286715.1,NM_001299786.1
NP_001097413.1,NM_001103943.1
NP_611663.2,NM_137819.4
NP_001286716.1,NM_001299787.1
NP_995922.2,NM_206200.3
NP_001097414.1,NM_001103944.2
NP_001097415.1,NM_001103945.2
NP_611664.1,NM_137820.2
NP_001286717.1,NM_001299788.1
NP_611665.1,NM_137821.3
NP_477404.1,NM_058056.4
NP_001286718.1,NM_001299789.1
NP_611666.2,NM_137822.3
NP_001286719.1,NM_001299790.1
NP_611667.1,NM_137823.3
NP_001163252.2,NM_001169781.2
NP_611668.1,NM_137824.2
NP_001286720.1,NM_001299791.1
NP_001246459.1,NM_001259530.2
NP_788425.1,NM_176245.4
NP_001286721.1,NM_001299792.1
NP_001246460.1,NM_001259531.2
NP_477306.3,NM_057958.5
NP_001163253.1,NM_001169782.2
NP_611669.1,NM_137825.4
NP_001286722.1,NM_001299793.1
NP_523809.2,NM_079085.5
NP_001286723.1,NM_001299794.1
NP_001286724.1,NM_001299795.1
NP_001286725.1,NM_001299796.1
NP_523810.2,NM_079086.3
NP_523811.1,NM_079087.4
NP_001246461.1,NM_001259532.2
NP_726199.3,NM_166533.4
NP_001369110.1,NM_001382159.1
NP_726201.1,NM_166534.3
NP_611671.1,NM_137827.3
NP_611672.1,NM_137828.1
NP_001163254.2,NM_001169783.2
NP_611673.3,NM_137829.3
NP_001286727.1,NM_001299798.1
NP_001286726.1,NM_001299797.1
NP_001286728.1,NM_001299799.1
NP_611675.2,NM_137831.3
NP_611676.1,NM_137832.2
NP_611677.1,NM_137833.2
NP_001369111.1,NM_001382123.1
NP_001369112.1,NM_001382124.1
NP_001261136.1,NM_001274207.1
NP_726208.1,NM_166535.2
NP_001097417.1,NM_001103947.2
NP_001261135.1,NM_001274206.1
NP_611678.1,NM_137834.3
NP_611679.1,NM_137835.2
NP_001261137.1,NM_001274208.2
NP_611680.2,NM_137836.3
NP_611681.1,NM_137837.2
NP_001286729.1,NM_001299800.1
NP_001286730.1,NM_001299801.1
NP_611683.1,NM_137839.3
NP_611684.3,NM_137840.4
NP_001246462.1,NM_001259533.2
NP_001286731.1,NM_001299802.1
NP_611685.1,NM_137841.4
NP_611686.2,NM_137842.3
NP_726213.1,NM_166536.3
NP_611687.1,NM_137843.3
NP_788426.1,NM_176246.2
NP_001368934.1,NM_001382063.1
NP_001286732.1,NM_001299803.1
NP_001286733.1,NM_001299804.1
NP_611690.2,NM_137846.3
NP_477226.2,NM_057878.4
NP_611691.1,NM_137847.3
NP_611692.1,NM_137848.3
NP_611693.1,NM_137849.4
NP_001286734.1,NM_001299805.1
NP_611694.2,NM_137850.4
NP_726217.2,NM_166539.2
NP_611695.1,NM_137851.4
NP_611696.2,NM_137852.5
NP_001097419.1,NM_001103949.2
NP_001097420.1,NM_001103950.3
NP_001286735.1,NM_001299806.1
NP_611697.1,NM_137853.4
NP_001286736.1,NM_001299807.1
NP_611682.1,NM_137838.3
NP_611698.1,NM_137854.3
NP_726220.1,NM_166541.4
NP_611699.1,NM_137855.4
NP_001286737.1,NM_001299808.1
NP_788428.2,NM_176248.3
NP_001246464.1,NM_001259535.2
NP_001246463.1,NM_001259534.2
NP_001286739.1,NM_001299810.1
NP_001246465.1,NM_001259536.2
NP_611700.2,NM_137856.6
NP_001246466.1,NM_001259537.2
NP_611701.1,NM_137857.3
NP_001286738.1,NM_001299809.1
NP_611702.1,NM_137858.3
NP_001286740.1,NM_001299811.1
NP_001097421.2,NM_001103951.2
NP_001246468.1,NM_001259539.2
NP_611703.1,NM_137859.4
NP_001188983.1,NM_001202054.2
NP_001303360.1,NM_001316431.1
NP_611704.2,NM_137860.4
NP_726223.1,NM_166542.4
NP_001286741.1,NM_001299812.1
NP_001033966.1,NM_001038877.3
NP_001286742.1,NM_001299813.1
NP_611705.1,NM_137861.3
NP_001286743.1,NM_001299814.1
NP_523812.1,NM_079088.3
NP_001261138.1,NM_001274209.2
NP_476899.1,NM_057551.4
NP_726224.3,NM_166543.2
NP_611708.2,NM_137864.3
NP_788429.1,NM_176249.3
NP_611709.1,NM_137865.3
NP_611710.1,NM_137866.2
NP_611711.1,NM_137867.2
NP_788430.3,NM_176250.4
NP_726231.4,NM_166544.4
NP_001137738.2,NM_001144266.2
NP_611712.2,NM_137868.2
NP_001261139.1,NM_001274210.1
NP_001261140.1,NM_001274211.1
NP_726234.3,NM_166546.3
NP_001163258.1,NM_001169787.2
NP_726235.2,NM_166547.2
NP_001163257.1,NM_001169786.2
NP_726238.1,NM_166550.3
NP_001163260.1,NM_001169789.2
NP_001163256.1,NM_001169785.2
NP_001163259.1,NM_001169788.2
NP_611717.2,NM_137873.3
NP_001261141.1,NM_001274212.1
NP_001356969.1,NM_001370013.1
NP_611715.3,NM_137871.4
NP_611714.1,NM_137870.3
NP_001286744.1,NM_001299815.1
NP_611716.3,NM_137872.5
NP_001356893.1,NM_001369993.1
NP_001356970.1,NM_001369994.1
NP_726242.2,NM_166553.3
NP_726243.1,NM_166554.3
NP_726245.2,NM_166556.3
NP_726244.1,NM_166555.3
NP_726246.1,NM_166557.3
NP_726247.1,NM_166558.2
NP_001246469.1,NM_001259540.1
NP_001097423.1,NM_001103953.3
NP_001188986.2,NM_001202057.3
NP_726250.3,NM_166561.5
NP_001286745.1,NM_001299816.2
NP_726249.2,NM_166560.4
NP_611720.3,NM_137876.4
NP_001286746.1,NM_001299817.2
NP_726252.1,NM_166563.3
NP_726254.1,NM_166564.2
NP_611721.2,NM_137877.3
NP_001286747.1,NM_001299818.1
NP_611722.2,NM_137878.2
NP_611723.3,NM_137879.4
NP_995924.2,NM_206202.2
NP_611724.1,NM_137880.2
NP_611725.2,NM_137881.3
NP_001286748.1,NM_001299819.1
NP_611726.1,NM_137882.2
NP_523813.1,NM_079089.4
NP_726260.1,NM_166566.1
NP_001246470.1,NM_001259541.1
NP_523814.1,NM_079090.3
NP_611728.1,NM_137884.4
NP_001036566.4,NM_001043101.4
NP_001369113.1,NM_001382080.1
NP_001246471.1,NM_001259542.2
NP_726262.2,NM_166567.4
NP_001246472.1,NM_001259543.2
NP_611729.2,NM_137885.4
NP_611731.1,NM_137887.4
NP_001261142.1,NM_001274213.2
NP_726263.1,NM_166568.3
NP_001246473.1,NM_001259544.2
NP_611733.1,NM_137889.3
NP_001261143.1,NM_001274214.1
NP_611734.1,NM_137890.3
NP_611735.1,NM_137891.3
NP_611736.1,NM_137892.4
NP_001246474.1,NM_001259545.2
NP_523815.2,NM_079091.4
NP_726264.1,NM_166569.3
NP_726265.4,NM_166570.4
NP_001246475.2,NM_001259546.2
NP_652039.2,NM_143782.3
NP_001097425.1,NM_001103955.3
NP_001188989.1,NM_001202060.2
NP_001188987.1,NM_001202058.2
NP_001188990.2,NM_001202061.2
NP_001286751.1,NM_001299822.1
NP_726269.1,NM_166574.3
NP_001188988.1,NM_001202059.2
NP_001286749.1,NM_001299820.1
NP_001286750.1,NM_001299821.1
NP_726271.1,NM_166576.3
NP_001261144.1,NM_001274215.1
NP_001097426.1,NM_001103956.3
NP_611737.2,NM_137893.4
NP_001188991.1,NM_001202062.2
NP_611738.1,NM_137894.3
NP_611739.1,NM_137895.3
NP_001188992.1,NM_001202063.2
NP_611740.1,NM_137896.3
NP_001188993.1,NM_001202064.2
NP_001261146.1,NM_001274217.2
NP_611741.1,NM_137897.4
NP_001261147.1,NM_001274218.2
NP_001188994.1,NM_001202065.2
NP_001188996.1,NM_001202067.2
NP_726278.1,NM_166581.4
NP_001286752.1,NM_001299823.1
NP_523816.2,NM_079092.3
NP_001033967.1,NM_001038878.2
NP_001286753.2,NM_001299824.1
